Group,Female,Hsgpa,ACT,SAT,Sem1gpa,Alg_A,Alg_DFW,CAT_pre,CAT_post,CAT_delta,ENGR_persist,INST_persist,On_Track_2,On_Track_3,On_Track_4,No_Math_4
Control,0,3.84,24,,2.1538,0,0,,,,0,1,1,0,0,1
Control,0,3.78,25,,4,1,0,,,,1,1,1,1,1,0
Control,1,4,24,,3.4118,0,0,,,,1,1,1,1,1,0
Control,1,3.69,,,2.7857,0,0,,,,0,0,0,0,0,1
Control,1,4.16,24,,3.8056,1,0,,,,1,1,1,1,1,0
Control,0,2.98,24,,3.4,1,0,,,,0,0,1,0,0,1
Control,0,3.62,23,,2.9412,0,0,,,,1,1,1,1,1,0
Control,0,3.09,,560,,0,0,,,,0,1,1,0,0,1
Control,0,3.78,23,,3.2692,0,0,,,,1,1,1,1,1,0
Control,1,4.19,25,,4,1,0,,,,1,1,1,1,1,0
Control,1,4.39,24,,3.7333,1,0,,,,1,1,1,1,1,0
Control,0,3.8,22,,3.5417,1,0,,,,0,1,1,0,0,0
Control,0,3.19,24,,,0,1,,,,0,0,0,0,0,1
Control,0,3.28,,,2.8,0,0,,,,0,1,1,0,0,1
Control,1,4.4,23,,2.8333,0,1,,,,0,1,0,0,0,0
Control,0,3.81,,,3.4706,0,0,,,,1,1,1,1,1,0
Control,0,2.72,24,,1.7857,0,0,,,,0,0,1,0,0,1
Control,0,2.95,24,,2.0667,0,0,,,,0,0,1,0,0,1
Control,0,2.87,,,2.4667,0,0,,,,0,1,1,0,0,1
Control,1,3.64,,,2.3125,0,0,,,,0,1,1,0,0,1
Control,1,4,23,,3.625,1,0,,,,1,1,1,1,1,0
Control,0,4.08,22,460,3.8125,1,0,,,,0,0,1,1,0,1
Control,0,2.75,,,1.8421,0,1,,,,0,1,0,0,0,0
Control,0,2.2,22,,,0,1,,,,0,0,0,0,0,1
Control,0,3.68,,,3.5,1,0,,,,1,1,1,1,1,0
Control,0,3.9,23,,3.625,0,0,,,,1,1,1,1,1,0
Control,0,3.65,25,,2.6429,0,0,,,,0,0,0,0,0,0
Control,0,3.36,,,2.3125,0,0,,,,0,1,1,0,0,0
Control,0,3.8,,,2.9444,0,0,,,,0,1,1,0,0,1
